Time,Maximum temperature,Minimum temperature,Rainfall,Maximum Windspeed 10m
20240313,34.890533,16.57965,0.0,3.933874
20240314,36.12912,13.813324,0.0,4.752093
20240315,36.191803,15.822968,3.6551331e-10,3.8578417
20240316,37.02423,16.697174,0.0,3.8942366
20240317,36.685577,15.80307,0.0,4.190661
20240318,37.11615,14.446747,0.0,5.3678417
20240319,37.69861,15.513092,0.0,4.921137
