Time,Maximum temperature (C),Minimum temperature (C),Rainfall (mm),Maximum Windspeed 10m (m/s),Relative humidity (2m)
20221204,32.94,21.88,0.0,4.7,96.53
20221205,33.43,23.88,0.0,4.55,89.26
20221206,34.34,22.07,0.0,5.3,82.29
20221207,34.36,20.81,0.0,4.47,69.15
20221208,32.76,22.09,0.29,7.27,66.44
20221209,29.87,24.43,8.58,5.99,86.02
20221210,31.81,23.71,0.08,6.61,88.53
