Date,Maximum temperature,Minimum temperature,Rainfall,Maximum Windspeed 10m
20240313,19.421082,6.799103,0,10.870328
20240314,22.553162,6.0853577,0,6.449201
20240315,23.998566,9.267212,0,6.5396333
20240316,24.645355,10.560333,0,3.905206
20240317,28.878174,14.06723,0,6.105443
20240318,30.019836,15.742584,0,8.322682
20240319,29.819061,15.134094,0,5.23454
