Time,Maximum temperature,Minimum temperature,Rainfall,Maximum Windspeed 10m
20240313,31.921387,14.001068,0.0,7.900273
20240314,32.064667,12.233246,0.0,3.9844348
20240315,32.628113,12.348663,0.0,4.260767
20240316,33.64731,13.977386,0.0,3.2799575
20240317,35.362823,12.136322,0.0,2.9698122
20240318,36.9646,14.663635,0.0,3.0493839
20240319,38.330048,19.246246,0.0,3.6106775
