Time,Maximum temperature (C),Minimum temperature (C),Rainfall (mm),Maximum Windspeed 10m (m/s),Relative humidity (2m)
20221204,30.63,21.15,0.05,5.38,96.86
20221205,30.67,21.64,0.42,5.38,93.81
20221206,31.8,21.39,0.0,6.88,85.93
20221207,31.52,21.39,0.01,7.43,65.91
20221208,27.57,22.41,142.84,14.0,100.0
20221209,25.55,21.84,67.95,8.47,99.74
20221210,26.69,22.0,32.51,6.33,98.49
