Time,Maximum temperature,Minimum temperature,Rainfall,Maximum Windspeed 10m
20240312,30.998535,14.70578,0.0,4.8423967
20240313,31.465546,12.963409,0.13656974,5.820076
20240314,32.242676,15.443054,0.0002336204,3.393481
20240315,32.478363,15.324493,0.0,4.470767
20240316,33.771057,17.059753,0.0,5.244708
20240317,34.0112,15.748871,0.011302486,3.5499167
20240318,33.66513,12.194244,0.0,5.027454
